coeff_sigma,cls,hour
-2.627811611580461,4.0,9.0
-3.764707755301669,4.0,10.0
-4.120064829299896,4.0,11.0
-4.72642812207069,4.0,12.0
-3.8811948324912455,4.0,13.0
-3.539449689329706,4.0,14.0
-3.728061202035008,4.0,15.0
-3.9785545287989224,4.0,16.0
-3.9980043164266634,4.0,17.0
-3.8107108481404324,4.0,18.0
-3.6738055547938804,4.0,19.0
-3.644911208838421,4.0,20.0
-3.022848669871951,4.0,21.0
-1.8956896483923513,4.0,22.0
-0.8584261406248612,4.0,23.0
-0.5285969004487144,7.0,9.0
-0.6318416514638056,7.0,10.0
-0.6417210691306966,7.0,11.0
-0.7416428266536682,7.0,12.0
-0.560784637353622,7.0,13.0
-0.6292078978777234,7.0,14.0
-0.5283695245336293,7.0,15.0
-0.5595663776598335,7.0,16.0
-0.5823927130204151,7.0,17.0
-0.7435047880445687,7.0,18.0
-0.7354160886997279,7.0,19.0
-0.8569338921328644,7.0,20.0
-0.8494412004548224,7.0,21.0
-0.46624319653492974,7.0,22.0
-0.27245404342096224,7.0,23.0
-1.4819311813456595,10.0,9.0
-1.906638127043149,10.0,10.0
-1.6287772491732349,10.0,11.0
-2.1618673685413503,10.0,12.0
-1.6831370392709155,10.0,13.0
-1.768255244167823,10.0,14.0
-1.7322391562032753,10.0,15.0
-1.4178936535801157,10.0,16.0
-1.6825061497571723,10.0,17.0
-1.8436424869066572,10.0,18.0
-1.9665001826928488,10.0,19.0
-2.4931237178590373,10.0,20.0
-2.0194420928688994,10.0,21.0
-1.6673520911052162,10.0,22.0
-0.8942852929196703,10.0,23.0
-1.3073991663869018,40.0,9.0
-1.587902967490097,40.0,10.0
-2.122230479736153,40.0,11.0
-2.0788299261400796,40.0,12.0
-1.960245246198928,40.0,13.0
-1.7596289969913352,40.0,14.0
-1.7727094785900879,40.0,15.0
-1.8925508545290686,40.0,16.0
-1.940839255776092,40.0,17.0
-2.0859054608303986,40.0,18.0
-1.9464874493953923,40.0,19.0
-1.75925471838194,40.0,20.0
-1.4901930266600163,40.0,21.0
-1.0065285392510692,40.0,22.0
-0.3951214607901663,40.0,23.0
-1.304722865919955,42.0,9.0
-1.4717871883288713,42.0,10.0
-1.6773780601618031,42.0,11.0
-1.5524158242725141,42.0,12.0
-1.5039720713412175,42.0,13.0
-1.368079689868206,42.0,14.0
-1.6709313083707795,42.0,15.0
-1.5014506593675672,42.0,16.0
-1.9548019247922652,42.0,17.0
-2.21374764611457,42.0,18.0
-2.1321530034660796,42.0,19.0
-1.8082630810742542,42.0,20.0
-1.5633144309064742,42.0,21.0
-1.075939609277709,42.0,22.0
-0.5629144040929132,42.0,23.0
-1.007030198445882,55.0,9.0
-1.237580407149856,55.0,10.0
-1.2618115915496813,55.0,11.0
-1.2801832182992912,55.0,12.0
-1.3601737137539316,55.0,13.0
-1.1706242615061513,55.0,14.0
-1.1725865353242877,55.0,15.0
-1.13707589466809,55.0,16.0
-1.356153025554188,55.0,17.0
-1.456538096664695,55.0,18.0
-1.5257963104636618,55.0,19.0
-1.4846949620878178,55.0,20.0
-1.5472175537168045,55.0,21.0
-1.1406755557342818,55.0,22.0
-0.5191876157314894,55.0,23.0
-0.3937406553255891,61.0,9.0
-0.5093402409828065,61.0,10.0
-0.6629278573162294,61.0,11.0
-0.7852431879733439,61.0,12.0
-0.5622668852647051,61.0,13.0
-0.6204937943906413,61.0,14.0
-0.6061909407781697,61.0,15.0
-0.6472657046320368,61.0,16.0
-0.7208307468269715,61.0,17.0
-0.8071062785123577,61.0,18.0
-0.8043339338449242,61.0,19.0
-0.684694810100686,61.0,20.0
-0.5615836910660942,61.0,21.0
-0.5686496134928924,61.0,22.0
-0.20459037856844933,61.0,23.0
-0.3860713365966657,79.0,9.0
-0.44662669453899223,79.0,10.0
-0.5533532819860498,79.0,11.0
-0.6292613879662802,79.0,12.0
-0.5814978213698739,79.0,13.0
-0.4303969981312685,79.0,14.0
-0.32740189010795534,79.0,15.0
-0.4902342734634188,79.0,16.0
-0.37510684992799886,79.0,17.0
-0.5575618120264575,79.0,18.0
-0.45814518593791653,79.0,19.0
-0.44830367250814157,79.0,20.0
-0.5136697524466629,79.0,21.0
-0.3972088236239639,79.0,22.0
-0.18932022380419505,79.0,23.0
