cls,hour,coeff_sigma
4,10,-2.936419689670155
4,11,-3.1292972069274287
4,12,-3.863272376807683
4,13,-3.26924686031594
4,14,-2.8911943621398333
4,15,-3.0503129790048344
4,16,-3.0842111944347095
4,17,-3.0855175526642005
4,18,-3.129165881223228
4,19,-3.0874480488838834
4,20,-2.8796494745020835
4,21,-2.2661201887444964
4,22,-1.6549458175665164
4,23,-0.9316097736986603
18,10,-1.0981068819967998
18,11,-0.9714640884636322
18,12,-1.5476325330966207
18,13,-1.0655610120443058
18,14,-0.9809020972116649
18,15,-1.0013301218086408
18,16,-0.9787895403138122
18,17,-1.166588203696195
18,18,-1.2214993155373228
18,19,-1.5097686649553792
18,20,-1.465353510754406
18,21,-1.2465686730379966
18,22,-1.0988896626093418
18,23,-0.7714799864204515
57,10,-1.327656183737181
57,11,-1.3067503575243238
57,12,-1.6559117791609201
57,13,-1.4276281295908395
57,14,-1.2923125470945398
57,15,-1.3687064729756757
57,16,-1.3953128566965687
57,17,-1.4501541110960405
57,18,-1.6512152773198592
57,19,-1.6933696946747316
57,20,-2.0436532293066128
57,21,-1.7622131797853564
57,22,-1.263933963926884
57,23,-0.6034254178910569
61,10,-0.37024933455503095
61,11,-0.483825911007856
61,12,-0.581900584044537
61,13,-0.589029765144935
61,14,-0.4277410046006941
61,15,-0.5355296554000173
61,16,-0.47110759549963194
61,17,-0.5754465322192032
61,18,-0.45714339842751467
61,19,-0.6733237274153118
61,20,-0.5495566290102251
61,21,-0.39531968835465203
61,22,-0.3048265688152905
61,23,-0.16651304105471193
68,10,-1.7217310829582892
68,11,-1.726923409175891
68,12,-2.038464176953713
68,13,-1.6872173959725278
68,14,-1.5411958952911309
68,15,-1.7068927807509235
68,16,-1.6698261512989871
68,17,-1.6347734530215734
68,18,-1.8863988308878112
68,19,-2.018166720876725
68,20,-2.027272580409905
68,21,-1.662239393644656
68,22,-1.297290922057776
68,23,-0.6929585593379114
79,10,-0.5002805809858087
79,11,-0.4622213500853238
79,12,-0.47296042649147146
79,13,-0.351474801359007
79,14,-0.3500032291842353
79,15,-0.4203987647366627
79,16,-0.29633821564524515
79,17,-0.40756204138260554
79,18,-0.4128746301899899
79,19,-0.3320821589999144
79,20,-0.43954573924242235
79,21,-0.46129557833143536
79,22,-0.35223789973931513
79,23,-0.09371186925971611
80,10,-3.2995149382906432
80,11,-3.004373750549453
80,12,-3.359558963734677
80,13,-2.748892621493265
80,14,-3.0132864681337046
80,15,-2.6218461992144495
80,16,-2.871508677509125
80,17,-2.8243235588046125
80,18,-3.093460828081844
80,19,-2.9706616988041046
80,20,-2.8667476422129576
80,21,-3.0740177797024617
80,22,-2.556510843879394
80,23,-1.4342555348012804
