,cls,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,lat,lon,day
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,14.3973235271,121.030356295,20150417
1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5853230702,121.057484472,20150417
2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,14.48421626,121.04748261,20150417
3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5466485413,121.095303959,20150417
4,4.0,,,,,,,,,,-2.62781161158,-3.7647077553,-4.1200648293,-4.72642812207,-3.88119483249,-3.53944968933,-3.72806120204,-3.9785545288,-3.99800431643,-3.81071084814,-3.67380555479,-3.64491120884,-3.02284866987,-1.89568964839,-0.858426140625,14.5809722398,120.98143988,20150417
5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6013109376,120.98524787,20150417
6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,14.7350462975,121.029552586,20150417
7,7.0,,,,,,,,,,-0.528596900449,-0.631841651464,-0.641721069131,-0.741642826654,-0.560784637354,-0.629207897878,-0.528369524534,-0.55956637766,-0.58239271302,-0.743504788045,-0.7354160887,-0.856933892133,-0.849441200455,-0.466243196535,-0.272454043421,14.58120736,121.076259653,20150417
8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,14.67853793,120.950725371,20150417
9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5094407692,121.051585092,20150417
10,10.0,,,,,,,,,,-1.48193118135,-1.90663812704,-1.62877724917,-2.16186736854,-1.68313703927,-1.76825524417,-1.7322391562,-1.41789365358,-1.68250614976,-1.84364248691,-1.96650018269,-2.49312371786,-2.01944209287,-1.66735209111,-0.89428529292,14.6565667722,121.027523786,20150417
11,11.0,,,,,,,,,,,,,,,,,,,,,,,,,14.720677977,120.996317427,20150417
12,12.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6006062381,120.969716582,20150417
13,13.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6258896042,121.020464844,20150417
14,14.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5891743918,121.020553949,20150417
15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,14.61035,121.2608,20150417
16,16.0,,,,,,,,,,,,,,,,,,,,,,,,,14.4287275782,121.032985864,20150417
17,17.0,,,,,,,,,,,,,,,,,,,,,,,,,14.642572778,121.101345611,20150417
18,18.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6175130769,121.094148008,20150417
19,19.0,,,,,,,,,,,,,,,,,,,,,,,,,14.7668315072,121.047685348,20150417
20,20.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5817960579,121.001183125,20150417
21,21.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5519530764,120.985807916,20150417
22,22.0,,,,,,,,,,,,,,,,,,,,,,,,,14.654026275,120.959002008,20150417
23,23.0,,,,,,,,,,,,,,,,,,,,,,,,,14.54314,121.073267143,20150417
24,24.0,,,,,,,,,,,,,,,,,,,,,,,,,14.56516309,121.072396034,20150417
25,25.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5252976,121.062847,20150417
26,26.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6740674427,121.077159273,20150417
27,27.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5933899165,121.038295926,20150417
28,28.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6651634569,120.977833803,20150417
29,29.0,,,,,,,,,,,,,,,,,,,,,,,,,14.7014591192,120.968761337,20150417
30,30.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5920785471,121.099673039,20150417
31,31.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6059201269,121.022291317,20150417
32,32.0,,,,,,,,,,,,,,,,,,,,,,,,,14.574933394,121.038891042,20150417
33,33.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6144840992,120.967169535,20150417
34,34.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6368590909,120.999845455,20150417
35,35.0,,,,,,,,,,,,,,,,,,,,,,,,,14.57273003,121.025521487,20150417
36,36.0,,,,,,,,,,,,,,,,,,,,,,,,,14.5362373395,120.998214582,20150417
37,37.0,,,,,,,,,,,,,,,,,,,,,,,,,14.591940215,121.083367756,20150417
38,38.0,,,,,,,,,,,,,,,,,,,,,,,,,14.6386161406,121.032922279,20150417
39,39.0,,,,,,,,,,,,,,,,,,,,,,,,,14.70555616,121.065825057,20150417
40,40.0,,,,,,,,,,-1.30739916639,-1.58790296749,-2.12223047974,-2.07882992614,-1.9602452462,-1.75962899699,-1.77270947859,-1.89255085453,-1.94083925578,-2.08590546083,-1.9464874494,-1.75925471838,-1.49019302666,-1.00652853925,-0.39512146079,14.55368572,121.021607853,20150417
